names,research
"Bakos, Jason D. ","Dr. Bakos's research interests involve computer architecture at the circuit level,
                                    micro-architectural level, and system level. This includes VLSI design, design automation,
                                    system-level interconnects, reconfigurable computing and high-performance computing. | computer architecture|reconfigurable computing|heterogeneous computing|high performance computing|embedded systems"
"Baldwin, Randi",Computer Science and Engineering
"Balestrero, Jenny",Electrical Engineering
"Banerjee, Sourav ","Dr. Banerjee's expertise and research interest includes Computational NDE/SHM, Material
                                 State Awareness, Smart Structure/Energy Harvesting, Mechatronics/Robotics, Biomimetic
                                 and Metamaterials.|Banerjee’s Current Research is spanned across the following primary fields | Wave Propagation|Ultrasonics|Acoustics|Metamaterials|Biomedical"
"Barnett, Evan","Mechanical Engineering, Aerospace Engineering"
"Bartl, Johanna",Chemical Engineering
"Baus, Ronald",Civil and Environmental Engineering
"Bayoumi, Abdel-Moez E. ","['300 Main StreetRoom A223Columbia , SC 29208Dr . Bayoumi has about 40 years teaching , research and industry experience . He is currently the Director of the McNair Aerospace Center , Director of the Center for Predictive Maintenance , Associate Dean for Corporate Relations and Professor of Mechanical and Biomedical Engineering . Prior to joining USC , he was Professor of Mechanical and Aerospace Engineering at North Carolina State University , a project manager at Hewlett Packard Company , and Professor of Mechanical and Materials Engineering at Washington State University . He has been actively involved in developing strong programs in mechanical , biomedical , nuclear and aerospace engineering . His research activities have been focused in mechanical behavior of materials , tribology , diagnosis and prognosis and life predictions of mechanical systems , manufacturing processes , health monitoring systems , condition based maintenance , and digital transformation . Dr . Bayoumi has received more than 35M in funding from the US Department of Defense , US Department of Energy , US National Science Foundation and various US industries . He has published over 150 journal and conference papers']"
"Bays, Carter",Computer Science & Engineering
"Bedenbaugh, Janice",Integrated Information Technology
"Berge, Nicole D.",waste conversion|solid waste|nanomaterial fate|bioreactor landfills|waste to energy
"Besmann, Theodore  M.",Nuclear fuel and waste materials
"Bess, Bree",Engineering and Computing
"Blanchette, James  Otto","My research interests fall into the areas of: design of cell-instructive materials,
                                 delivery of therapeutics and tissue engineering. Specific projects include: developing
                                 responsive delivery systems to expand the spectrum of chemotherapeutics which can
                                 be administered orally; extending proper function of pancreatic islet cells following
                                 transplantation through genetic engineering and design of instructive hydrogel materials;
                                 tracking hypoxic signaling in three-dimensional cell aggregates; and transplantation
                                 of mesenchymal stem cells to enhance vascularization."
"Boltin, Nicholas D.","Dr. Boltin’s research focuses on developing decision support systems for the healthcare
                                 industry.  Data Science is an interdisciplinary field that employs techniques from
                                 many disciplines such as mathematics, statistics, information science and computer
                                 science.  The focus of our research is categorized into two broad areas: One, to glean
                                 information from data utilizing analytical techniques including data mining, statistical
                                 analysis, dimension reduction, supervised and unsupervised machine learning, as well
                                 as predictive modeling.  Two, design and evaluate translational informatic tools created
                                 to deploy sophisticated algorithms using the latest in software development and human
                                 computer interaction. | Artificial Intelligence|Machine Learning|predictive analytics|data mining|decision support systems"
"Booth, Kristen",DC Microgrids|Optimization of Power Electronics|Medium Frequency Medium Voltage Transformer Optimization|Electric Vehicle Charging Stations|Solid State Transformers|Reliability Testing of Wide Bandgap and Ultra WBG Semiconductors in Power Converters|AI-integrated Power Electronics | Power Electronics Reliability|Medium Frequency Transformer Optimization|Power Grid Resiliency
"Bowles, John ",Computer Science & Engineering
"Bradburn, J. Hugh",Civil and Environmental Engineering
"Bradley, Bill",Mechanical Engineering
"Bradshaw, Kimberly",Biomedical Engineering
"Brillhart, Allison",Engineering and Computing
"Brookshire, Robert G., Ph.D.",Applications of statistical methods and neural networks|Information systems pedagogy|Web usability | Information Technnology
"Buell, Duncan A.","Professor Buell's recent work has been in electronic voting systems and in digital
                                 humanities. He has been part of a team that is auditing election data in South Carolina
                                 and discovering problems in the process that lead to uncounted votes and to the absence
                                 of data to support the vote totals certified by the state. In digital humanities,
                                 he is co-supervising work on Ward One App, a critical interactive for iPhone about “urban renewal” in Columbia SC and the University
                                 of South Carolina’s role in evicting residents of the Ward One neighborhood adjacent
                                 to the university, and is engaged in the analysis of First Year English essays for
                                 linguistic characteristics and improvement of writing pedagogy.|Professor Buell's past research interests included the algorithms and architectures
                                 for performing computations, such as those in discrete mathematics and text/string
                                 processing, for which traditional computer architectures oriented toward floating-point
                                 computations normally perform at a significantly reduced efficiency. One class of
                                 such problems are those computational problems in number theory for which fast integer
                                 arithmetic, often multiprecision arithmetic, is necessary. Another broad class of
                                 problems are those for which ""custom computing machines"" were devised. These include
                                 bit-oriented computations such as those done in string processing, and image processing
                                 computations, for which one often needs substantial parallelism, but for which 8-bit
                                 or 12-bit arithmetic is often sufficient accuracy. At IDA/CCS he directed the Splash
                                 2 project building a custom computing machine that used Xilinx FPGAs as the compute
                                 elements and whose applications were programmed in VHDL."
"Busbee, Shawna","['research', 'computer', 'engineering']"
"Cacuci, Dan Gabriel",Mechanical Engineering
"Caicedo, Juan","Dr. Caicedo's area of specialization is in Structural Engineering with emphasis in
                                    Structural Dynamics. His research interests include both numerical and experimental
                                    research in the areas of structural dynamics, model updating, structural health monitoring,
                                    earthquake engineering and structural control. Dr. Caicedo is member of the American
                                    Society of Civil Engineers, the Earthquake Engineering Research Institute, George
                                    E. Brown Jr. Network for Earthquake Engineering Simulation, the Society of Experimental
                                    Mechanics and the American Society of Engineering Educators. | Computational Biology|Machine Learning|Computer Vision"
"Calderon, Andre",Engineering and Computing
"Calloway, T. Bond",Engineering and Computing
"Cannon, Robert",Computer Science and Engineering
"Carrilho, Leo ","['Dr . Leo Carrilho s research and interests include modeling and simulation of processes and phenomena in structural and thermal hydraulic design of PWR nuclear fuel and core components , using the FEA and the CFD methods .']"
"Carver, Wayne","The ventricular wall of the heart is composed of contractile muscle cells and non-muscle
                                 cell types including fibroblasts, endothelial cells and others. These cells are interconnected
                                 and supported by an elaborate extracellular matrix. Changes in the density and organization
                                 of the extracellular matrix are known to affect cardiovascular performance and have
                                 been correlated with heart disease. For instance, excessive accumulation of extracellular
                                 matrix or fibrosis is commonly associated with hypertension and myocardial infarction.
                                 Increased accumulation of extracellular matrix as seen during fibrosis results in
                                 a “stiffer” myocardium, which alters heart function.  The extracellular matrix in
                                 the heart is produced largely by cardiac fibroblasts.|The research in Dr. Carver’s lab is focused on understanding how fibroblast behavior
                                 and gene expression are regulated in the heart. We are particularly interested in
                                 how chronic exposure to alcohol as seen during alcohol abuse results in myocardial
                                 fibrosis. Cell culture and animal models are being used to examine the regulation
                                 of fibroblasts in cardiovascular disease."
"Chandrashekhar, MVS",Graphene|Chemistry|Plasmonics|SiC|Epitaxy
"Chao, Yuh J. ","['Dr . Chao s research and interests include theoretical and experimental studies on failure , fracture and fatigue of materials and structures , welding modeling for residual stress and distortion , impact mechanics for material characterization and failure criterion , biomechanics and nanomechanics , and the durability of PEM fuel cell systems . Cao , Yupeng Qian , Guian He , Yinbiao Niffenegger , Markus Chao , Yuh J , Constraint Assessment for Specimens Tested Under Uniaxial and Biaxial Loading Conditions , ASME Journal of Pressure Vessel Technology , 031401 7 , Vol . 140 , June 2018 . Wang Bo , Zhu Shiyang , Hao Peng , Bi Xiangju , DuKaifan , Chen Bingquan , Ma Xiangtao , Chao Yuh J . , Buckling of quasi perfect cylindrical shell under axial compression A combined experimental and numerical investigation , International Journal of Solids and Structures , 130 131 2018 232 247 .']"
"Chaudhry, Hanif","Dr. Chaudhry's area of specialization is water resource engineering with emphasis
                                    on the mathematical and physical modeling of steady and unsteady flows in closed conduits
                                    and open-channel. The research interests include both numerical and experimental investigations,
                                    such as modeling and laboratory studies on fluid transients in pipelines, on flood
                                    flows in rivers and channels, on levee breach, dam failure, and on scour around bridge
                                    piers, etc. | Hydraulic Engineering|Water Resources Engineering|Hydraulic Transients"
"Chen, Donna",Surface science|catalysis|physical chemistry
"Chen, Fanglin (Frank)",Solid Oxide Fuel Cells|Materials Science|Ceramics|Solid State Electrochemistry|Gas Separation Membrane
"Chen, Yinchao","Signal integrity for high speed circuits by using industrial standard tools, including
                                    HFSS, HSPICE, PSPICE, ADS, IBIS, and CADENCE ALLEGRO Viewer for analysis of board-level
                                    crosstalk, interconnects, connectors, packages, and vias, for modeling of behavioral
                                    buffers, for design of clock timing systems, and for analysis of power delivery networks.|Analysis and design of multi-band mobile handset printed inverted-F antennas (PIFAs)
                                    and base station antenna arrays by using the finite difference time domain (FDTD)
                                    method.|Analysis and design of RF, millimeter-wave, and microwave integrated circuits printed
                                    on multi-layer GaN based substrates by using the FDTD approach and the method of moments
                                    (MoM).|Bioelectromagnetic applications: prediction and detection of early breast cancers
                                    and EM interaction investigation between human bodies and mobile handsets by using
                                    the (FDTD) method.|Large target scattering RCS prediction by using higher-order, efficient Maxwell’s
                                    solvers, including the pseudospectral time domain (PSTD) approach, and multiresolution
                                    time domain (MRTD) scheme.|Wireless indoor and outdoor signal coverage study by using the PSTD MRTD approaches."
"Chen, Yuche",AI-augmented simulation|emerging technologies|data sensing and analytics
"Coman, Paul  T.","Development of mathematical modeling for improving the performance and safety in Li-ion
                                 batteries"
"Crichigno, Jorge","Design, implementation, and evaluation of Science DMZs|Effect of packet losses not due congestion on Science DMZs and high-speed, high-latency
                                    networks|Flow-based Intrusion Detection Systems|Network Function Virtualization: optimal routing and placement of network functions | P4|Science DMZ|IoT Security"
"Dalton, Travis",Integrated Information Technology
"Davis, Denise Sgroi",Medical and Healthcare Informatics|Data Modeling and Analytics of RWD|Big Data Analytics|Data-Driven Decision Making|Web and Information Technology
"Davis, James P",Computer Science & Engineering
"De Backer, Wout","Dr. De Backer’s research interest include continuous fiber thermoplastic additive
                                 manufacturing (FFF, 3D printing), structural design of thermoplastic composites and
                                 aircraft design.|The core focus of the 3D printing team lead by Dr. De Backer at the University of
                                 South Carolina is on multi-axis 3D printing with continuous fiber and engineering
                                 thermoplastic matrix. The team therefore has extensive background in 3D printer design,
                                 automation, and composite design and analysis, and uses both off-the-shelf and in-house
                                 developed FDM/FFF style printers. Our current staff of researchers, is focused in
                                 the field of Fused Filament Fabrication (FFF) Additive Manufacturing. The team also
                                 has experience in manufacturing engineering thermoplastic filament/feedstock for 3D
                                 printers within the required tolerances, using in-house developed pellet extrusion
                                 and tow pultrusion systems. Through our group's industry contracts, the researchers
                                 have close relationships with companies that directly use or implement the developments
                                 brought by the research."
"Delahunt, Natasha",Computer Science & Engineering
"Deng, Xiaomin ",Solid mechanics|finite element|modeling and simulation|manufacturing process simulation|molecular dynamics simulation
"DesChamps, Kachet","Biomedical Engineering, Chemical Engineering"
"Dickerson, John",Civil and Environmental Engineering
"Dillon, Anthony L","['Innovation Center550 Assembly Street , Suite 1300Office 1321Columbia , SC 29208Mr . Dillon is the Director of Internships for the Department of Integrated Information Technology and clinical instructor for undergraduate and graduate programs within the IIT and MHIT programs . He has worked within the private and public sectors as it related to educational technology and brings numerous business partnerships and relationships to the university .']"
"Dohan, David",Information Technology Services
"Dorrell, Kay",Engineering and Computing
"Dorrell, Vernon",Chemical Engineering
"Dotter, Rachel",Civil and Environmental Engineering
"Dougal, Roger A.","Power conversion and storage in fuel cells, batteries, and capacitors|Power routing and control in microgrids and renewable energy systems|Power electronic implementations of Smart Grid concepts|Modeling and simulation methods for integrated electrical, thermal, mechanical, and
                                    fluid systems|The application of computer gaming methods in engineering design environments|High-speed, distributed, multirate, hardware-interactive simulation environments|DC power systems, including power routing, reconfiguration, protection, and control"
"Downey, Austin",Digital Twins|Real-Time Systems|In Situ Sensing|Structural Health Monitoring|Structural Control
"Dryer, Frederick  L. ",Fuels|Combustion|Fire Safety|Chemical Kinetics|Propulsion
"DuBose, Krystal ","['research', 'computer', 'engineering']"
"Eastman, Caroline M. ","Professor Eastman's research interests focus on effective and efficient algorithms
                                    for information retrieval. When you want information, how easily and quickly can you
                                    find it? Is it useful and correct when you do find it? Her work in this area has addressed
                                    a broad spectrum of problems, from efficient file organizations to search interfaces
                                    and user interactions. She has also been working with colleagues on problems in database
                                    security. She is PI and co-director (with Professor Bowles) for an NSF Research Experiences
                                    for Undergraduates site."
"Ebner, Armin D.","Dr. Ebner's major research interest is the application of magnetic fields to the separation,
                                 collection and/or manipulation of magnetic particles from a fluid medium, with particular
                                 emphasis in the use of high gradient magnetic separation (HGMS) principles. This technique
                                 consists on the use of fine ferromagnetic elements that as a result of the application
                                 of an external magnetic field become energized and create magnetic gradients large
                                 enough to collect particles that because of their small size and/or low magnetism
                                 their collection cannot be otherwise realized. Today major emphasis and potential
                                 for HGMS is found in the medical area where the technique can be used to assist magnetic
                                 drug targeting for cancer treatment, restenosis, embolization control as well as for
                                 rapid detoxification.|Other research interests of Dr. Ebner are the development and understanding of complex
                                 hydrides for hydrogen storage and the development of new process designs (i.e, PSA
                                 and TSA) for gas separation processes. In terms of complex hydrides, major efforts
                                 are currently devoted to understanding the mechanistic role of catalysts such as Ti,
                                 Zr, V as well as that of co-dopants such as Fe, Ni and others in the observed enhanced
                                 kinetics of dehydrogenation and hydrogen regeneration of alanates. In terms of gas
                                 separation processes, efforts are concerted into CO2 removal for spatial air revitalization
                                 (NASA) and CO2 sequestration from flue-gas (EPA) using high temperature adsorbents
                                 (e.g., hydrotalcites)."
"Elia, Kim","['research', 'computer', 'engineering']"
"Embler, Laura ","['research', 'computer', 'engineering']"
"Evans, Colin","How do blood vessels respond when blocked or injured? Can this response be leveraged
                                    to treat inflammatory vascular diseases? The Evans Laboratory studies the vascular
                                    response to thrombosis with a view to improving treatments for inflammatory vascular
                                    diseases including acute respiratory distress syndrome.Using clinically relevant disease models and targeted gene editing and drug delivery
                                    techniques, the lab focuses on two discrete but related disease areas: (i) thrombus
                                    formation and resolution; and (ii) inflammatory lung injury and repair. Upcoming studies
                                    will target thrombosis-induced metabolic signaling pathways that control endothelial
                                    survival and proliferation for the treatment of sepsis-induced lung injury.The overall vision of the lab is to improve the understanding and treatment of inflammatory
                                    vascular diseases through translational studies of the vascular response to thrombosis.
                                    The lab is in a supportive and inclusive environment with emphasis on scientific excellence
                                    and professional development. Contact from prospective collaborators and lab members
                                    is welcome."
"Fan, Daping","The rupture of vulnerable atherosclerotic plaques and the resulting thrombosis are
                                 the direct causes of heart attack and stroke, the No. 1 and No. 3 killers in the United
                                 States and many other developed countries. Atherosclerosis is both a lipid deposit
                                 disease and a chronic inflammatory condition. Macrophages are the primary cholesterol
                                 sinks as well as dominant inflammation machines in atherogenesis. Macrophage foam
                                 cell formation and inflammatory responses form a vicious cycle and promote atherogenesis.
                                 The goal of the research in our laboratory is to develop strategies to disrupt the
                                 vicious cycle and promote the regression of atherosclerotic plaques through restoring
                                 macrophage cholesterol homeostasis and controlling macrophage inflammation.|Myeloid cells are the major cell component of the tumor microenvironment (TME), whose
                                 interaction with malignant cells determines the aggressiveness of the tumor. Myeloid
                                 cells in TME are mainly myeloid-derived suppressor cells (MDSCs), dendritic cells,
                                 and tumor-associated macrophages (TAMs). In advanced tumors, due to the unique features
                                 in TME including hypoxia, abundance in cytokines/chemokines and Toll-like receptor
                                 (TLR) ligands, and an unusual metabolic profile, a complex signaling network tunes
                                 the dynamics and function of the myeloid cells in favor of cancer progression. Our
                                 research is focused on understanding this signal network and developing strategies
                                 to manipulate it to improve cancer treatment."
"Fang, Ruixian","Thermal-hydraulic safety analysis of advanced small modular reactor
Predictive modeling, sensitivity/uncertainty method for critical/subcritical nuclear systems
Heat transfer and fluid flow with phase changes
Applied Computational Fluid Dynamic (CFD)
Thermal management of power electronics
Micro-channels and synthetic jets
System-level thermal modeling and simulation"
"Farkas, Csilla ","Dr. Farkas’ research interests include information security, data inference problem,
                                    financial and legal analysis of cyber crime, and security and privacy on the Semantic
                                    Web. Dr. Farkas actively participates in international scientific communities as program
                                    committee member and reviewer. | information security"
"Farouk, Tanvir   I.",Low temperature plasma|Combustion|Thermal-fluid Science|Multi-physics Modeling
"Fenner, Stephen A. ","Professor Fenner's research interests are in the core theoretical foundations of computing
                                    computability and computational complexity, especially quantum computing and information. | Theoretical Computer Science|Computational Complexity|Quantum Informatics"
"Fiedler, Kirk","Dr. Fiedler research interests include technology innovation, knowledge management,
                                    privacy, ethics and risk. | Business|computer science"
"Flora, Joseph","Dr. Flora’s main research interests are in molecular modeling for environmental reactions,
                                 computer modeling of water quality engineering processes, and processes for water
                                 quality engineering."
"Fu, Frank (Peng)",Engineering and Computing
"Fulmer, Stephen","['research', 'computer', 'engineering']"
"Gadala-Maria, Francis","The main theme of Prof. Gadala-Maria's research is relating the microstructure of
                                 materials to their macroscopic properties. The principal techniques used by him and
                                 his collaborators are rheological measurements and digital image processing. Past
                                 research projects include the correlation of the rheological and electrical properties
                                 of concentrated suspensions of non-colloidal particles to the shear-induced anisotropic
                                 arrangement of the suspended particles, and the effect of shear prior to curing on
                                 the arrangement of the inclusions and on the final properties of composite materials.
                                 The results from these projects may be useful in the manufacture of products as diverse
                                 as solid rocket propellants and bipolar plates for fuel cells. The technique developed
                                 to measure the orientation distribution of fibers in short-fiber composites may find
                                 application in the manufacture of products such as paper and non-woven textiles. Other
                                 projects include studies of the rheology of the solder pastes and other industrial
                                 materials, and the effect of the rheology of fresh concrete on the settlement of its
                                 aggregates before curing. Current projects include the rheology of bulk molding compounds,
                                 the rheology of natural polysaccharides, and the economics of the production of hydrogen
                                 from nuclear power."
"Gadow, Danielle",Engineering and Computing
"Garcia-Diaz, Brenda",Engineering and Computing
"Gassman, Sarah",geotechnical civil engineering
"Gatzke, Edward P.","Dr. Gatzke's research interests are in the area of process modeling, control, and
                                 optimization. Efficient operation of chemical processes requires a fundamental understanding
                                 of dynamic and nonlinear characteristics. A variety of controller formulations can
                                 be developed to reduce product variability and improve productivity. Estimation and
                                 diagnostic methods can be used to develop process information that cannot easily be
                                 directly acquired by instrumentation. Recently, new moving horizon formulations involving
                                 unknown values taking discrete values have been proposed. These applications require
                                 online solution to constrained mixed-integer optimization problems. Ongoing research
                                 efforts include parallel programming efforts for mixed-integer optimization, including
                                 parallel nonconvex nonseparable mixed-integer outer approximation and parallel nonconvex
                                 branch-and-reduce methods. Application areas of interest include particulate processing,
                                 bio-processes, and large scale systems."
"Gerdes, Jr., John H.",Web-based data miningKnowledge managementElectronic commerceDistance learningData security
"Ginjupally, Bhavana",Engineering and Computing
"Ginn, Herbert L.",Power electronics applications in energy systems|Power phenomena and compensation in non-sinusoidal systems|Power quality | Microgrids|power electronic converters|power quality|power theory
"Giurgiutiu (Jurjutzu), Victor","['Dr . Giurgiutiu s research interests span active materials , smart structures , structural health monitoring , mechatronics , and other multi physics applied mechanics topics . Dr . Giurgiutiu has published several books and book chapters and many journal articles and conference papers . He is Fellow of the Royal Aeronautical Society RAeS and of the American Society of Mechanical Engineers ASME . He is Associate Editor of the Aeronautical Journal of RAeS .']"
"Glenn Jr., Odell","“Fundamental Aspects of a Novel Technology for Abatement of Allergenic Proteins” involved
                                 the development of an approach to potentially reduce the potency of asthma triggers
                                 produced in an indoor environment. Allergens are bound to dry dust particles in a
                                 home. The effectiveness of using dry ice, essential oils with CO2 through CFD modeling
                                 and an ELISA assay was investigated.|My present passion is S.T.E.M education along with engineering education research.
                                 Investigating new and unique ways to teach undergraduates core fundamentals is key
                                 to both myself as an educator and to the student."
"Goharian, Erfan",Integrated Water Resources Modeling and Management|Systems Thinking and Analysis|Water-Energy-Food Nexus|Hydroinformatics|Multi-objective Optimization and Decision Making in Coupled Human-Natural Systems | Water Resources Systems|Flood Resilience|FIRO|Artificial Intelligence|Hydroinformatics
"Goodwin, Richard Lance",Developmental and Cell biology|Embryology|Histology|Biomedical Engineering
"Gower, R. Michael","Our research focuses on understanding the immune system in order to develop bio-instructive
                                 materials that stimulate specific immune responses. We aim to control immune cell
                                 migration to synthetic microenvironments that are engineered to program and expand
                                 regulatory immune cells as a therapeutic tool for inflammatory disease. This research
                                 utilizes controlled release of proteins, peptides, and small molecules via a biomaterial
                                 to direct regulatory immune cell differentiation, as characterized by epigenetic modification
                                 to DNA, transcriptional programs, protein expression, and immunosuppressive function.
                                 We employ these technologies in animal disease models with the long-term goal of developing
                                 translational therapies for atherosclerosis, diabetes, and cancer. | immunoengineering|Biomaterials"
"Graham, Sarah","['research', 'computer', 'engineering']"
"Gray, Joshua","['Experienced engineer with a diverse background ranging from educational instruction and mentoring roles , extensive experience in research and development environments , entrepreneurial start ups and community based non profit social work . Educational roles range from experience as a teaching assistant in graduate school chemical engineering laboratories , serving as a mentor and thesis committee member as an adjunct professor while working in the national laboratory system , and serving as a laboratory manager and instructor in the chemistry department at a state supported liberal arts university . R D experience primarily involves the application of electrochemical engineering to localized corrosion and sustainable energy applications . I have worked in such areas as materials compatibility and corrosion susceptibility of high temperature heat transfer fluids for solar energy , hydrogen storage and fuel cell applications , the development of alternative separations processes for used nuclear fuel , and battery component research and characterization . I participated in several start ups in the areas of fuel cell and hydrogen storage technologies , and am currently a co founder of a 501 c 3 nonprofit in the area of recovery from substance use disorder .']"
"Griffith, Donald","['research', 'computer', 'engineering']"
"Gross, Andrew J.",Solid Mechanics
"Gucwa, Joe","['research', 'computer', 'engineering']"
"Gumina, Sharon",Design Thinking and Agile Development|Relational Databases and Structured Query Language (SQL)|Programming|Operating Systems|PC Hardware/Software|Networking|IT Student Teaching and Learning and Curriculum Development
"Gürdal, Zafer ",Structural and Multidisciplinary Design …
"Hagan, Shawn","Chemical Engineering, Biomedical Engineering"
"Haj-Hariri, Hossein ",Advanced Manufacturing|Artificial Intelligence|Energy Storage Distribution|Intelligent Infrastructure|Nuclear Energy|Transforming Health Care | fluid mechanics|thermal management|applied mathematics
"Hamm,  L Larry",Mechanical Engineering
"Haon, Katie","['research', 'computer', 'engineering']"
"Hardaway, Chad","['research', 'computer', 'engineering']"
"Harik, Ramy",Future Factories|Process Planning|Automated Fiber Placement
"Hartmann, Thomas","['research', 'computer', 'engineering']"
"Henrich, Silke",['Biomedical Engineering1200 Catawba StRoom 202']
"Heyden, Andreas","Our primary research interests are in the areas of nanomaterial science and heterogeneous
                                 catalysis. Our goal is to use computer simulations to obtain a deeper - molecular
                                 - understanding of key issues in these areas, such as the self-assembly process in
                                 catalyst synthesis, the structure of small metal clusters on high-surface-area supports,
                                 and the structure-performance relationship of single-site heterogeneous catalysts.
                                 The goal of our research is to elucidate the physical effects that must be considered
                                 for the design and production of highly selective heterogeneous catalysts with a long
                                 lifetime. Due to the high selectivity and activity of designed catalytic materials,
                                 chemical processes can make better use of the world's limited resources and become
                                 more environmentally benign.|Despite significant advances in computer algorithms and the increasing availability
                                 of computational resources, molecular modeling and simulation of large, complex systems
                                 at the atomic level remains a challenge and is currently limited to relatively simple,
                                 well-defined materials. To enable simulations of complex systems that accurately reflect
                                 experimental observations, continued advances in modeling potential energy surfaces
                                 and statistical mechanical sampling are necessary. While studying systems relevant
                                 for catalysis, we develop new theoretical and computational tools for the investigation
                                 of these complex chemical systems. Our tool development efforts are at the interface
                                 between engineering, chemistry, and physics, and are rooted in classical, statistical,
                                 and quantum mechanics with a special focus on novel multiscale methods. | Computational Catalysis|Multiscale Modeling|Biomass Catalysis|Electro-Catalysis|Uncertainty Quantification"
"Heyward, Julia","['research', 'computer', 'engineering']"
"Hicks, Justin","['research', 'computer', 'engineering']"
"Higgs, Meredith",Electrical Engineering
"Hikmet, Neset","['Health Information Technology, Health Informatics, Information Systems']"
"Hipp, Brian",Computer Science & Engineering
"Holland, Charles E.",Chemical Engineering
"Hollis, Marshall","['research', 'computer', 'engineering']"
